year,syndicate,reporting_currency,reporting_unit,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,total_liabilities,other_liabilities,source
2015,6111,GBP,1000,131040.3,23256.6,107783.7,109495.7,0.0,1659.9,-39901.8,-24203.7,3581.9,3018.0,-57505.6,-46064.7,7585.3,0.0,-128.1,7457.1,0.0,15829.5,11492.1,280418.6,307740.2,-67445.5,-149461.2,-307740.2,,AR 2015
2015,6112,GBP,1000,37451.4,6673.2,30778.2,31927.6,0.0,507.3,-17672.1,-994.5,1586.4,366.6,-16713.7,-13338.0,2383.2,0.0,-97.4,2285.7,0.0,4936.2,3376.0,85500.3,93812.5,-19531.1,-46298.4,-93812.5,,AR 2015
2015,6117,GBP,1000000,24.2,0.0,24.2,24.7,0.0,0.0,-2.4,-6.9,0.0,0.0,-9.2,-10.2,5.3,0.0,-0.4,4.8,0.0,0.0,0.0,33.2,33.2,-15.3,-9.5,-33.2,,AR 2015
2015,6118,GBP,1000,47507.7,14504.7,33003.0,23797.4,721.1,315.4,-15824.5,-11330.3,4586.0,4143.6,-18425.2,-5108.3,1300.4,0.0,-174.6,1125.9,0.0,18632.7,7505.4,65488.8,91626.9,-26524.9,-61370.5,-91626.9,,AR 2015
2015,6119,GBP,1000,17041.3,2931.4,14109.9,13894.7,0.0,112.3,0.0,-8334.2,0.0,851.5,-7482.7,-5808.8,715.5,0.0,-4.9,710.6,0.0,1350.4,1364.0,26019.7,28734.1,-8440.8,-12884.2,-28734.1,,AR 2015
2015,6120,GBP,1000,40151.3,12172.9,27978.4,13628.6,436.5,40.7,-1006.7,-13008.7,55.3,4350.9,-9609.2,-4553.1,-56.5,0.0,-23.2,-79.7,0.0,4503.8,5592.0,24255.4,34351.2,-21067.2,-13363.7,-34351.2,,AR 2015
2015,6121,GBP,1000,21810.1,3977.2,17832.9,9248.0,0.0,34.6,0.0,-5808.8,0.0,464.5,-5344.3,-4169.2,-230.9,0.0,-12.9,-243.7,0.0,474.4,1592.4,18521.7,20588.5,-10235.4,-5926.8,-20588.5,,AR 2015
2015,6124,GBP,1000000,316.8,8.60000000000002,308.2,270.1,0.0,1.0,-58.1,-195.5,0.0,4.7,-248.9,-19.8,2.40000000000002,0.0,0.1,2.4,194.3,4.7,2.9,43.8,245.7,-41.0,-195.5,-245.7,,AR 2015
2015,727,GBP,1000,67774.4,478.399999999994,67296.0,67711.4,0.0,1385.8,-38194.4,1032.3,482.2,-735.6,-37415.5,-24090.6,7591.1,0.0,531.0,8122.0,233359.7,916.4,117.3,54349.0,288742.4,-36506.7,-245893.3,-288742.4,,AR 2015
2015,779,GBP,1000,14100.4,2744.3,11356.1,15063.6,0.0,68.3,-8413.6,-107.7,1741.3,-410.3,-7190.3,-11496.7,-3555.1,0.0,0.0,-3555.2,9027.6,2120.0,1503.6,11170.0,23821.2,-9622.0,-14167.6,-23821.2,,AR 2015
2015,958,GBP,1000,205027.9,46169.8,158858.1,148803.9,0.0,1274.1,-104500.0,16237.5,21548.6,358.3,-66355.6,-73936.0,9786.39999999999,0.0,-373.6,9412.8,188129.4,80458.8,15420.7,238513.9,522522.8,-92184.1,-364108.4,-522522.8,,AR 2015
2015,1183,USD,1000000,1020.2,199.2,821.0,833.7,0.0,12.3,-492.5,34.2,96.3,5.6,-356.4,-359.4,130.2,0.0,0.0,130.3,1177.5,290.8,67.6,565.7,2101.6,-526.4,-1295.9,-2101.6,,AR 2015
2015,1274,USD,1000,400079.9,43217.6,356862.3,336141.4,0.0,854.6,-175835.7,-46842.7,31125.3,-19835.5,-211388.6,-114956.0,10651.4,0.0,-756.2,9895.2,420152.5,61043.2,9119.5,298667.1,788982.3,-197087.9,-477795.3,-788982.3,,AR 2015
2015,1686,USD,1000,179970.9,78897.7,101073.2,89309.7,0.0,60.2,-41269.1,-122027.9,18910.9,66732.4,-77653.7,-41217.1,-29500.9,0.0,-3168.3,-32669.3,31019.5,81741.8,31844.5,108322.9,252928.7,-96538.8,-160919.4,-252928.7,,AR 2015
2015,1967,USD,1000,217855.3,32479.9,185375.4,196299.2,0.0,1023.4,-100747.6,-14658.2,6439.8,-909.0,-109874.9,-76616.1,10831.6,0.0,-2488.9,8342.7,123148.9,7728.1,12671.5,120979.6,264528.1,-102172.7,-133271.9,-264528.1,,AR 2015
2015,1969,USD,1000,288194.0,59652.4,228541.6,199712.5,0.0,456.9,-92763.6,-30094.0,8305.6,9553.5,-104998.6,-80486.4,14684.4,0.0,-2731.5,11952.9,169787.7,29510.4,26548.9,156825.3,382672.3,-149059.8,-165425.8,-382672.3,,AR 2015
2015,2003,USD,1000,2936284.8,962120.3,1974164.5,2068558.6,0.0,58940.9,-1426440.8,-82242.1,339865.3,-264.5,-1169082.1,-872368.2,86049.2,0.0,-23618.4,62430.9,3015775.3,780092.0,483913.4,2500843.3,6780624.0,-1494980.3,-3900278.6,-6780624.0,,AR 2015
2015,2010,USD,1000,301668.6,68105.9,233562.7,242042.0,0.0,3026.6,-148804.5,81682.8,24382.4,-27743.0,-70482.3,-91386.3,83200.0,0.0,-5368.7,77831.3,343569.4,93046.6,6753.5,143112.2,586481.7,-94534.7,-329064.0,-586481.7,,AR 2015
2015,2357,USD,1000,71350.8,38720.8,32630.0,30209.8,0.0,6.9,0.0,-16.6,0.0,0.0,-16.6,-13639.7,16560.4,0.0,88.7,16649.1,26668.9,0.0,4197.4,25354.7,56221.0,-7789.3,-17.1,-56221.0,,AR 2015
2015,2623,USD,1000000,1730.2,329.6,1400.6,1403.2,0.0,44.9,-747.0,-9.3,118.3,2.3,-635.6,-542.0,270.5,0.0,-18.8,251.5,2358.6,720.1,150.8,1249.3,4478.8,-815.0,-2995.7,-4478.8,,AR 2015
2015,2987,USD,1000000,2001.4,614.4,1387.0,1402.3,0.0,33.1,-872.2,-207.8,331.3,68.5,-680.2,-601.8,153.4,0.0,-53.6,99.7,1835.9,1210.8,243.8,1391.5,4682.0,-848.4,-3306.1,-4682.0,,AR 2015
