year,syndicate,reporting_currency,reporting_unit,syndicate_cob,gross_written_premium,gross_earned_premium,gross_claims_incurred,operating_expenses,ri_balance,source
2021,2003,GBP,1000,Accident and health,47380.0,50133.0,-27615.0,-18970.0,-1158.0,2021 AR
2022,2003,GBP,1000,Accident and health,28422.0,28756.0,-6434.0,-12239.0,3217.0,2022 AR
2023,2003,GBP,1000,Accident and health,33004.0,31208.0,-16119.0,-19284.0,-3399.0,2023 AR
2024,2003,GBP,1000,Accident and health,38171.0,37638.0,-9726.0,-17017.0,682.0,2024 AR
2015,2007,GBP,1000000,Accident and health,6.1,4.6,-2.4,-1.9,-0.8,2016 AR
2016,2007,GBP,1000000,Accident and health,15.8,14.3,-7.5,-8.0,-0.7,2016 AR
2017,2007,GBP,1000,Accident and health,14234.0,13724.0,-12155.0,-5470.0,1207.0,2018 AR
2018,2007,GBP,1000,Accident and health,18703.0,17046.0,-8114.0,-7582.0,-1759.0,2018 AR
2018,2008,GBP,1000,Accident and health,14.0,108.0,-1376.0,-28.0,5.0,2018 AR
2021,2008,GBP,1000,Accident and health,550.0,1781.0,-5.0,-189.0,-367.0,2021 AR
2022,2008,GBP,1000,Accident and health,14.0,785.0,652.0,-168.0,-826.0,2022 AR
2023,2008,GBP,1000,Accident and health,4131.0,4238.0,148.0,-195.0,-5678.0,2023 AR
2024,2008,GBP,1000,Accident and health,547.0,1413.0,12938.0,-547.0,-11526.0,2024 AR
2021,2010,USD,1000,Accident and health,9025.0,5211.0,-2398.0,-2414.0,-74.0,2021 AR
2022,2010,USD,1000,Accident and health,8620.0,9055.0,-2240.0,-4198.0,-219.0,2022 AR
2023,2010,USD,1000,Accident and health,10007.0,7876.0,-3788.0,-2753.0,-257.0,2023 AR
2024,2010,USD,1000,Accident and health,9891.0,8946.0,-3566.0,-3531.0,128.0,2024 AR
2015,2012,GBP,1000,Accident and health,23780.0,21528.0,-10114.0,-9920.0,-1417.0,2016 AR
2016,2012,GBP,1000,Accident and health,49460.0,48497.0,-31736.0,-19857.0,-1304.0,2016 AR
2017,2012,GBP,1000,Accident and health,50408.0,54736.0,-35629.0,-22470.0,-889.0,2018 AR
2018,2012,GBP,1000,Accident and health,58034.0,60214.0,-35559.0,-24451.0,-850.0,2018 AR
2019,2012,GBP,1000,Accident and health,17321.0,22484.0,-13846.0,-8339.0,-95.0,2020 AR
2020,2012,GBP,1000,Accident and health,14472.0,14093.0,-8778.0,-6559.0,-238.0,2020 AR
2021,2012,GBP,1000,Accident and health,23091.0,18075.0,-7729.0,-8035.0,-489.0,2021 AR
2022,2012,GBP,1000,Accident and health,44977.0,42943.0,-16707.0,-15102.0,-2913.0,2022 AR
2023,2012,GBP,1000,Accident and health,18049.0,17549.0,-8181.0,-10927.0,-432.0,2023 AR
2024,2012,GBP,1000,Accident and health,19916.0,19715.0,-8118.0,-9000.0,-1434.0,2024 AR
2015,2014,GBP,1000,Accident and health,258.0,338.0,-138.0,-105.0,18.0,2016 AR
2016,2014,GBP,1000,Accident and health,342.0,324.0,-38.0,-145.0,-23.0,2016 AR
2017,2014,GBP,1000,Accident and health,57.0,-25.0,-66.0,-304.0,-114.0,2018 AR
2015,2015,GBP,1000,Accident and health,13321.0,12312.0,-7361.0,-6009.0,-895.0,2016 AR
2016,2015,GBP,1000,Accident and health,10761.0,12669.0,-7799.0,-5487.0,-291.0,2016 AR
2017,2015,GBP,1000,Accident and health,6325.0,8340.0,-6264.0,-4141.0,-1099.0,2018 AR
2018,2015,GBP,1000,Accident and health,6241.0,6849.0,-5251.0,-3082.0,-1064.0,2018 AR
2019,2015,GBP,1000,Accident and health,3045.0,5098.0,-5210.0,-1793.0,-383.0,2020 AR
2020,2015,GBP,1000,Accident and health,227.0,494.0,-356.0,-23.0,-42.0,2020 AR
2021,2015,GBP,1000,Accident and health,0.0,0.0,-539.0,-7.0,-3.0,2021 AR
2022,2015,GBP,1000,Accident and health,0.0,0.0,134.0,4.0,-7.0,2022 AR
2023,2015,GBP,1000,Accident and health,186.0,186.0,101.0,-34.0,-5.0,2023 AR
2024,2015,GBP,1000,Accident and health,1606.0,931.0,-93.0,-453.0,-101.0,2024 AR
2024,2050,USD,1000,Accident and health,0.0,0.0,0.0,0.0,0.0,2024 AR
2015,2088,GBP,1000,Accident and health,18944.0,15790.0,-11246.0,-3780.0,-1452.0,2016 AR
2016,2088,GBP,1000,Accident and health,21050.0,21287.0,-13540.0,-6596.0,-1629.0,2016 AR
2017,2088,GBP,1000,Accident and health,57081.0,38957.0,-24505.0,-13608.0,-577.0,2018 AR
2018,2088,GBP,1000,Accident and health,63870.0,54070.0,-37404.0,-20405.0,-395.0,2018 AR
2019,2088,GBP,1000,Accident and health,48894.0,44162.0,-25568.0,-15521.0,-3015.0,2020 AR
2015,2121,GBP,1000,Accident and health,2797.0,2283.0,-1502.0,-1035.0,37.0,2016 AR
2016,2121,GBP,1000,Accident and health,5927.0,4509.0,-2304.0,-1965.0,-397.0,2016 AR
2017,2121,GBP,1000,Accident and health,6564.0,5832.0,-3029.0,-2778.0,1572.0,2018 AR
2018,2121,GBP,1000,Accident and health,8558.0,8141.0,-3303.0,-3575.0,-660.0,2018 AR
2019,2121,GBP,1000,Accident and health,7208.0,8686.0,-4828.0,-3668.0,-1265.0,2020 AR
