syndicate,year,managing_agent,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,other_liabilities,total_liabilities,currency,unit,net_loss_ratio,expense_ratio,combined_ratio,ri_cession_rate,net_retention_rate,technical_account_margin,pretax_margin,roa,ri_to_total_assets,reserve_ratio,gwp_size_bucket
1910,2015,Ariel Re,274656.059,-77596.418,197059.641,110080.386,0.0,383.561,-17436.886,-15672.828,5327.894,-279.353,-28061.173,-50414.048,31988.726,0.0,-3658.195,28330.531,123778.085,26568.051,17720.88,188545.162,356612.178,-153478.984,-95412.813,-107720.381,-356612.178,GBP,1000,25.49,45.8,71.29,28.25,71.75,29.06,25.74,7.94,7.45,86.68,Mid (200-500m)
1919,2015,Starr,264307.832,-166946.184,97361.648,96965.187,0.0,3433.262,-192669.386,69454.645,117671.968,-48548.419,-54091.192,-21826.644,24480.613,0.0,-3793.397,20687.216,147379.879,234855.517,124743.379,268766.291,775745.066,-190455.125,-411418.512,-173871.429,-775745.066,GBP,1000,55.78,22.51,78.29,63.16,36.84,25.25,21.33,2.67,30.27,424.3,Mid (200-500m)
1945,2015,Sirius,83398.34999,-7172.61368,76225.73631,67223.52177,0.0,129.36778,-32514.31932,-13995.47749,1635.30073,1255.05327,-43619.44281,-27125.71312,-3392.26638,0.0,-645.63998,-4037.90636,32944.86181,2167.80719,2820.28602,58823.34853,96756.30355,-36681.64636,-48509.84678,-11564.81041,-96756.30355,GBP,1000,64.89,40.35,105.24,8.6,91.4,-5.05,-6.01,-4.17,2.24,72.16,Small (50-200m)
1955,2015,Arch,328301.691,-143690.762,184610.929,172029.08,3462.754,2142.288,-137735.476,-46252.881,57381.941,33654.47,-92951.946,-74702.264,9979.912,0.0,-2165.927,7813.985,280044.00686,192351.813,73305.2,319628.049,865329.06886,-187687.516,-476174.112,-201467.44086,-865329.06886,GBP,1000,54.03,43.42,97.46,43.77,56.23,5.8,4.54,0.9,22.23,276.8,Mid (200-500m)
1991,2015,Coverys,58992.122,-6335.622,52656.5,37324.435,0.0,-3.941,-6816.966,-25323.942,0.0,3446.714,-28694.194,-26461.283,-17834.983,0.0,-300.096,-18135.079,4078.18,4055.321,1872.27,33151.421,43157.192,-34124.62,-36521.34,27488.768,-43157.192,GBP,1000,76.88,70.9,147.77,10.74,89.26,-47.78,-48.59,-42.02,9.4,97.85,Small (50-200m)
2001,2015,MS Amlin,1653910.087,-436287.565,1217622.522,1107841.694,0.0,13462.855,-792165.044,91894.319,184996.484,-23123.668,-538397.909,-479387.177,103519.463,0.0,30806.589,134326.052,1673147.586,422914.029,182998.963,1424899.767,3703960.345,-946617.799,-1600996.217,-1156346.329,-3703960.345,GBP,1000,48.6,43.27,91.87,26.38,73.62,9.34,12.13,3.63,11.42,144.51,XL (>1bn)
2007,2015,AXIS,789338.247,-103389.564,685948.683,635396.656,0.0,4818.213,-343922.417,12347.913,62624.161,-39234.708,-308185.051,-254971.043,77058.775,0.0,-2350.032,74708.743,937847.063,284262.501,38446.079,524049.949,1784605.592,-409729.134,-1157915.299,-216961.159,-1784605.592,GBP,1000,48.5,40.13,88.63,13.1,86.9,12.13,11.76,4.19,15.93,182.24,Large (500m-1bn)
2008,2015,Enstar,68387.833,-9341.237,59046.596,59118.591,0.0,530.095,-63993.12,-13191.67,20228.279,12588.631,-44367.88,-10401.797,4879.009,0.0,-3016.589,1862.42,210301.809,98307.069,6654.026,61999.636,377262.54,-6654.026,-327927.244,-42681.27,-377262.54,GBP,1000,75.05,17.59,92.64,13.66,86.34,8.25,3.15,0.49,26.06,554.69,Small (50-200m)
2012,2015,Arch,153646.301,-40225.931,113420.37,108892.294,0.0,-638.327,-90601.461,17364.867,29386.917,-15331.313,-59180.99,-48256.918,816.059,0.0,2767.524,3583.583,162576.734,51292.893,18301.086,193823.581,425994.294,-81798.913,-223494.9,-120700.481,-425994.294,GBP,1000,54.35,44.32,98.66,26.18,73.82,0.75,3.29,0.84,12.04,205.24,Small (50-200m)
2014,2015,Hamilton,91916.016,-18929.114,72986.902,63432.964,0.0,21.579,-8019.961,-33247.832,648.275,3705.338,-36914.18,-25937.256,603.107,0.0,-177.422,425.685,47130.627,5291.437,5507.653,41656.114,99585.831,-32352.109,-53253.994,-13979.728,-99585.831,GBP,1000,58.19,40.89,99.08,20.59,79.41,0.95,0.67,0.43,5.31,83.95,Small (50-200m)
